Раздел;Показатель;Значение
Основной расчет;Нагрузка на энергоблок, МВт;200.0
Основной расчет;КПД блока, %;35.727
Основной расчет;КПД ТЭС брутто, %;35.727
Основной расчет;Собственные нужды, МВт;20.0
Основной расчет;Собственные нужды, %;5.0
Основной расчет;КПД ТЭС нетто, %;33.941
Основной расчет;Удельный расход топлива, г у.т./кВт·ч;362.395

Температурный анализ;Температура, °C;КПД нетто, %;Расход топлива;Теплоотвод
Температурный анализ;-20.0;35.853;343.067;1.10942
Температурный анализ;-15.0;35.962;342.024;1.09436
Температурный анализ;-10.0;36.055;341.142;1.0793
Температурный анализ;-5.0;36.132;340.419;1.06424
Температурный анализ;0.0;36.192;339.854;1.04918
Температурный анализ;5.0;35.673;344.803;1.03412
Температурный анализ;10.0;35.153;349.899;1.01906
Температурный анализ;15.0;34.634;355.147;1.004
Температурный анализ;20.0;34.287;358.734;0.99396
Температурный анализ;25.0;33.941;362.395;0.98392
Температурный анализ;30.0;32.71;376.026;0.97388
Температурный анализ;35.0;31.498;390.497;0.96384
Температурный анализ;40.0;30.304;405.882;0.9538
